epoch,train_loss,val_loss,train_acc,val_acc,cls_loss,domain_loss,paired_acc,unpaired_acc,minority_acc,learning_rate,unpaired_loss,paired_loss
1,5.415471008845738,3.2440477133550933,14.176548089591568,47.41833508956797,3.95205900448711,0.7147946177410478,48.666666666666664,45.27220630372493,66.66666666666667,0.001,1.4541119236906035,3.7469206717835757
2,3.277318383465294,1.9350173862766793,49.45981554677207,72.39199157007376,2.3525188149524334,0.6025090272687063,72.0,73.06590257879657,80.0,0.0009972609476841367,0.8644251082123828,2.2321405741346982
3,2.073009018136674,1.3330784036186145,64.7957839262187,80.29504741833509,1.4460518760841434,0.5684510431870693,79.5,81.6618911174785,87.5,0.0009890738003669028,0.5332082732885826,1.3692654145865881
4,1.4533512181594592,1.008133235545505,71.83135704874836,83.3508956796628,0.9916604481825307,0.4940497349290287,82.83333333333333,84.2406876790831,88.33333333333333,0.0009755282581475768,0.3647087376658656,0.9404275587626866
5,1.143810921857337,0.8364052705945657,75.75757575757575,85.66912539515279,0.757432433987866,0.48570796847343445,86.0,85.10028653295129,86.66666666666667,0.0009567727288213003,0.2761002542341457,0.7219982710706085
6,0.915677804906829,0.7668889208262034,79.68379446640316,86.51211801896733,0.5908201141517704,0.45780608433635295,85.16666666666667,88.82521489971347,87.5,0.0009330127018922195,0.21578838782651083,0.5625475862947833
7,0.7818471799377634,0.6921857429631015,81.3965744400527,87.35511064278188,0.4868326279796472,0.47506102719226806,87.0,87.96561604584527,87.5,0.0009045084971874739,0.18184015389625766,0.4574887111407368
8,0.6964263828361735,0.6834513001120379,82.4505928853755,87.03898840885142,0.4217588499564083,0.4708696578731056,87.83333333333333,85.67335243553009,91.66666666666667,0.0008715724127386972,0.1549455925759648,0.40021988611762266
9,0.6420209077226013,0.6372568570273693,84.7167325428195,86.9336143308746,0.38229270204275595,0.4604023344376508,86.83333333333333,87.10601719197707,90.0,0.0008345653031794292,0.13907770374241998,0.3648224960730857
10,0.5718806488674228,0.605674503098298,85.42819499341239,87.24973656480506,0.32716837256145076,0.4700504358576125,86.83333333333333,87.96561604584527,89.16666666666667,0.0007938926261462366,0.11977408557128505,0.31109143004697914
11,0.5126740008342165,0.5942308339982189,87.167325428195,87.35511064278188,0.2869374915456572,0.44985520013240204,87.5,87.10601719197707,87.5,0.00075,0.10537760274312577,0.27233983391598493
12,0.48409755089703727,0.5771408619945997,88.24769433465086,88.51422550052688,0.25968248678856537,0.47518966478459973,88.66666666666667,88.25214899713467,89.16666666666667,0.0007033683215379003,0.09596617087847044,0.24557447427210688
13,0.44701035032753184,0.5635439749135861,88.85375494071147,88.19810326659642,0.24000623120981104,0.43749215309860323,86.83333333333333,90.54441260744986,90.0,0.0006545084971874739,0.08849330147837892,0.227269394558017
14,0.405674111943285,0.5656477607967227,90.25032938076416,88.40885142255006,0.2066119408720181,0.4470104923268326,87.0,90.83094555873926,86.66666666666667,0.0006039558454088797,0.07669391501068819,0.19487704087768784
15,0.38342842660030396,0.5510522386547888,91.3570487483531,88.30347734457324,0.1912438098748191,0.44117362884914174,87.33333333333333,89.97134670487107,88.33333333333333,0.0005522642316338269,0.07157876415319052,0.17949756803069294
16,0.37423543056019215,0.5528248068655756,90.59288537549408,86.72286617492097,0.18183829054674683,0.4507144729630286,86.33333333333333,87.39255014326648,86.66666666666667,0.0005000000000000002,0.06747270916283381,0.17154837279197047
17,0.3512932834755473,0.5269339838319382,91.85770750988142,88.51422550052688,0.1595563248050313,0.4705174823268121,87.66666666666667,89.97134670487107,89.16666666666667,0.0004477357683661734,0.05839290932415664,0.15174512248955854
18,0.33292347418159995,0.5323464337842356,92.46376811594203,88.19810326659642,0.1500364650635659,0.4521553110675651,88.83333333333333,87.10601719197707,87.5,0.00039604415459112036,0.055555643505972474,0.1417212329898812
19,0.33305307221011954,0.5218438975301005,92.4901185770751,87.88198103266596,0.15008051117428212,0.45130859014867736,87.16666666666667,89.11174785100286,87.5,0.0003454915028125264,0.05492055908377681,0.14273992961883045
20,0.305396491113831,0.5224445531943576,93.0961791831357,88.51422550052688,0.12997711922175118,0.44984493924289193,88.16666666666667,89.11174785100286,88.33333333333333,0.0002966316784621,0.04904535098760506,0.12139765298807946
21,0.2872510147946222,0.5195886215746591,93.59683794466403,88.7249736564805,0.1167423130803499,0.445746381242736,88.5,89.11174785100286,89.16666666666667,0.00025000000000000017,0.04317275165314121,0.11035434241962283
22,0.28271130347201806,0.513482384548549,93.91304347826087,88.40885142255006,0.10886212151121943,0.46418833932956727,87.83333333333333,89.39828080229226,88.33333333333333,0.00020610737385376354,0.03967677399774371,0.10377802144141257
23,0.2769481977995704,0.508146209573595,94.51910408432147,88.51422550052688,0.1074083847533755,0.4519007839575535,88.33333333333333,88.82521489971347,89.16666666666667,0.00016543469682057108,0.03946924199811926,0.10190871447136923
24,0.26632425533372817,0.5086213403682689,94.46640316205534,88.93572181243414,0.10109964329279772,0.44430022505151123,88.83333333333333,89.11174785100286,89.16666666666667,0.00012842758726130298,0.03723056743727574,0.09580361416579045
25,0.2578306829228121,0.5022112043187792,94.70355731225297,89.04109589041096,0.0930129993362587,0.4508861641423041,88.83333333333333,89.39828080229226,89.16666666666667,9.549150281252637e-05,0.03390934063168634,0.08865548862817407
26,0.243349892877731,0.5063402515819376,95.38866930171278,88.93572181243414,0.08319512902203352,0.4470958094887373,88.33333333333333,89.97134670487107,88.33333333333333,6.698729810778068e-05,0.031143093972756455,0.0780780524516306
27,0.26425776768381853,0.501287812741966,94.59815546772069,88.83034773445732,0.09766419489374932,0.4511026316831092,88.33333333333333,89.68481375358166,89.16666666666667,4.322727117869953e-05,0.035138636647465346,0.09378833663375939
28,0.25274859694372703,0.4978676212851441,95.2832674571805,88.93572181243414,0.08904924282819784,0.4515476601213968,88.5,89.68481375358166,89.16666666666667,2.447174185242324e-05,0.032579143073785455,0.08470514966879322
29,0.2524628882147685,0.5026104997282159,95.12516469038208,88.93572181243414,0.0888253782226258,0.4513420463860536,88.33333333333333,89.97134670487107,89.16666666666667,1.092619963309716e-05,0.03235559859665252,0.0847046699828836
30,0.2612144999644336,0.500194565702163,95.04611330698287,88.7249736564805,0.09528429487313167,0.4522185881598657,88.5,89.11174785100286,88.33333333333333,2.7390523158633003e-06,0.03475504881749321,0.09079386793202211
